name,team,year,cap_hit_m
JuJu Smith-Schuster,PIT,2020,9.75
Diontae Johnson,PIT,2020,0.78
Chase Claypool,PIT,2020,0.78
Davante Adams,GB,2020,14.5
Tyreek Hill,KC,2020,15.38
DK Metcalf,SEA,2020,0.92
Justin Jefferson,MIN,2020,0.87
Allen Robinson,CHI,2020,14.0
Ja'Marr Chase,CIN,2021,0.87
Cooper Kupp,LAR,2021,9.5
Diontae Johnson,PIT,2021,1.84
Chase Claypool,PIT,2021,0.82
JuJu Smith-Schuster,PIT,2021,4.0
Davante Adams,GB,2021,16.5
Allen Robinson,CHI,2021,14.0
George Pickens,PIT,2022,0.78
Diontae Johnson,PIT,2022,8.5
Chase Claypool,PIT,2022,0.81
Ja'Marr Chase,CIN,2022,3.21
Justin Jefferson,MIN,2022,3.42
Tyreek Hill,MIA,2022,26.5
Davante Adams,LV,2022,28.0
Allen Robinson,LAR,2022,18.0
George Pickens,PIT,2023,0.79
Diontae Johnson,PIT,2023,8.5
Calvin Austin III,PIT,2023,1.0
Ja'Marr Chase,CIN,2023,9.53
Tyreek Hill,MIA,2023,26.5
CeeDee Lamb,DAL,2023,3.42
George Pickens,PIT,2024,1.05
Calvin Austin III,PIT,2024,1.1
Mike Williams,PIT,2024,1.1
Ja'Marr Chase,CIN,2024,11.1
Justin Jefferson,MIN,2024,12.25
Tyreek Hill,MIA,2024,27.7
DK Metcalf,PIT,2025,11.0
Calvin Austin III,PIT,2025,2.2
Roman Wilson,PIT,2025,0.94
Puka Nacua,LAR,2025,2.1
Ja'Marr Chase,CIN,2025,23.12
Amon-Ra St. Brown,DET,2025,13.91
Tyreek Hill,MIA,2025,27.7
Michael Pittman Jr,IND,2025,23.01
CeeDee Lamb,DAL,2025,15.34
AJ Brown,PHI,2025,17.52
